Año,Temperatura_base,Emisiones_base,Mitigacion_base,PrecioC_base,Temperatura_mod,Emisiones_mod,Mitigacion_mod,PrecioC_mod
255,5.712442197756,-5.525511930322046e-6,1.000000009668543,411.2358590227617,1.9011090281968763,1.3364361139085674,0.9474155437555811,377.18618677483147
260,5.726768090703545,-5.750647583812753e-6,1.0000000096561725,409.1848116110715,1.903810368957116,1.355584245843437,0.9477746491548297,375.5325957550269
265,5.741074859081348,-5.981114255835064e-6,1.0000000096426738,407.1439938403295,1.9065924327938488,1.3757746999806888,0.9480839642515209,373.85475390533395
270,5.755320500071885,-6.216790068972506e-6,1.0000000096279276,405.1133546899182,1.9094489396273575,1.396887145931074,0.9483503649477321,372.1573995666325
275,5.769469545422824,-6.457513860432428e-6,1.0000000096117931,403.09284339367395,1.9123742520563312,1.4188128626861245,0.9485797847416979,370.4445972398488
280,5.783492158972052,-6.703079502816613e-6,1.0000000095941048,401.0824094386161,1.9153633373868613,1.4414535372359438,0.9487773420407604,368.7198309698908
285,5.797363358244318,-6.961983775188876e-6,1.0000000095867239,399.082002571379,1.9184117269824144,1.4647201725855319,0.9489474507576812,366.9860852067615
290,5.8110623429490005,-7.215163745718819e-6,1.0000000095632244,397.09157276479795,1.921515474315119,1.4885320989244608,0.949093916258239,365.24591471212
295,5.824571915505152,-7.477283451292012e-6,1.0000000095440913,395.11107027112746,1.9246711127924145,1.5128160811153188,0.9492200185064297,363.5015049136794
300,5.837877980931728,-7.748374864841262e-6,1.0000000095289163,393.14044557740306,1.9278756141792703,1.5375055154156974,0.9493285840460336,361.7547239525935
305,5.850969115122012,-8.028048352297552e-6,1.0000000095168362,391.1796494173269,1.9311263482281165,1.5625397083421173,0.9494220482660458,360.0071675229743
310,5.863836192075496,-8.31527989628067e-6,1.0000000095063735,389.228632769943,1.934421043958359,1.587863230747426,0.9495025092234296,358.26019746918513
315,5.876472061971906,-8.608120738088838e-6,1.0000000094952308,387.2873468582945,1.937757752890963,1.6134253404624181,0.9495717741397954,356.51497498594017
320,5.88887127310052,-8.90330893321585e-6,1.0000000094800319,385.3557431480566,1.9411348144338547,1.639179467204984,0.9496313995483537,354.77248915826266
325,5.901029831627453,-9.195760779190728e-6,1.000000009455999,383.43377334614235,1.9445508235278588,1.6650827538560233,0.9496827259428505,353.0335814824161
330,5.912944994015895,-9.477923265221016e-6,1.0000000094165726,381.5213893992827,1.9480046005952414,1.6910956486178093,0.9497269076700042,351.2989669241889
335,5.924615087634002,-9.738980669019964e-6,1.000000009352978,379.61854349259045,1.9514951637818527,1.7171815429917592,0.9497649387099423,349.56925199642814
340,5.936039355699999,-9.963941677205654e-6,1.000000009253787,377.72518804813035,1.955021703444504,1.743306450926977,0.9497976749040193,347.8449502725314
345,5.947217823245997,-1.0132692475953566e-5,1.0000000091045536,375.84127572355135,1.9585835588074936,1.7694387248906223,0.949825853114942,346.12649569572267
350,5.958151181239249,-1.0219207001496691e-5,1.00000000888768,373.9667594108659,1.9621801966918022,1.7955488049915214,0.9498501077391404,344.4142539944575
355,5.96884068639231,-1.0191263216915198e-5,1.0000000085827614,372.1015922355219,1.9658111922074166,1.8216089976459038,0.949870984934738,342.70853247135227
360,5.979288074533776,-1.00112131113573e-5,1.000000008167749,370.24572755596057,1.9694762112913098,1.8475932806074684,0.9498889548792735,341.00958839582734
365,5.989495485697735,-9.638533929377443e-6,1.0000000076213271,368.39911896387275,1.9731749949694413,1.8734771314926617,0.9499044223286076,339.3176361984824
370,5.999465399347478,-9.034885762843869e-6,1.0000000069267907,366.5617202852979,1.976907345220714,1.8992373772156255,0.9499177357114263,337.6328536374343
375,6.009200578357736,-8.172017282312485e-6,1.0000000060773293,364.7334855824858,1.9806731123224133,1.9248520620074832,0.9499291949616723,335.9553870828884
380,6.018704020574064,-7.041918502942943e-6,1.0000000050819622,362.9143691560448,1.984472183560079,1.9503003319320078,0.9499390582634741,334.2853560455573
385,6.027978916924193,-5.667366134507201e-6,1.0000000039706358,361.1043255465168,1.988304473189324,1.9755623340252124,0.9499475478591507,332.6228570567713
